PRO_22426	PRO_22426
PRO_22427	PRO_22427
PRO_22428	PRO_22428
PRO_22428	PRO_2035
PRO_22428	PRO_11113
PRO_22428	PRO_17691
PRO_22431	PRO_22431
PRO_22432	PRO_22432
PRO_22434	PRO_22434
PRO_22435	PRO_22435
PRO_22436	PRO_22436
PRO_22439	PRO_22439
PRO_22440	PRO_22440
PRO_22440	PRO_8685
PRO_22442	PRO_22442
PRO_22442	PRO_20858
PRO_22445	PRO_22445
PRO_22447	PRO_22447
PRO_22447	PRO_19941
PRO_22447	PRO_4314
PRO_22447	PRO_4907
PRO_22447	PRO_11108
PRO_22448	PRO_22448
PRO_22450	PRO_22450
PRO_22450	PRO_4134
PRO_22450	PRO_583
PRO_22450	PRO_6288
PRO_22450	PRO_5511
PRO_22451	PRO_22451
PRO_22451	PRO_20587
PRO_22451	PRO_22189
PRO_22451	PRO_19186
PRO_22451	PRO_19611
PRO_22451	PRO_9697
PRO_22454	PRO_22454
PRO_22454	PRO_22989
PRO_22454	PRO_19284
PRO_22457	PRO_22457
PRO_22466	PRO_22466
PRO_22466	PRO_10886
PRO_22467	PRO_22467
PRO_22467	PRO_19193
PRO_22469	PRO_22469
PRO_22472	PRO_22472
PRO_22473	PRO_22473
PRO_22475	PRO_22475
PRO_22477	PRO_22477
PRO_22478	PRO_22478
PRO_22478	PRO_12992
PRO_22479	PRO_22479
PRO_22483	PRO_22483
PRO_22484	PRO_22484
PRO_22484	PRO_413
PRO_22484	PRO_3007
PRO_22485	PRO_22485
PRO_22486	PRO_22486
PRO_22487	PRO_22487
PRO_22488	PRO_22488
PRO_22490	PRO_22490
PRO_22496	PRO_22496
PRO_22499	PRO_22499
PRO_23703	PRO_23703
PRO_23703	PRO_7735
PRO_23706	PRO_23706
PRO_23708	PRO_23708
PRO_23708	PRO_14853
PRO_23708	PRO_1803
PRO_23708	PRO_3749
PRO_23708	PRO_23450
PRO_23708	PRO_3816
PRO_23710	PRO_23710
PRO_23710	PRO_18864
PRO_23711	PRO_23711
PRO_23720	PRO_23720
PRO_23720	PRO_14497
PRO_23720	PRO_1344
PRO_23720	PRO_20087
PRO_23723	PRO_23723
PRO_23723	PRO_22527
PRO_23725	PRO_23725
PRO_23725	PRO_6647
PRO_23725	PRO_10167
PRO_23726	PRO_23726
PRO_23731	PRO_23731
PRO_23734	PRO_23734
PRO_23734	PRO_23806
PRO_23737	PRO_23737
PRO_23739	PRO_23739
PRO_23739	PRO_17342
PRO_23739	PRO_6629
PRO_23741	PRO_23741
PRO_23742	PRO_23742
PRO_23745	PRO_23745
PRO_23748	PRO_23748
PRO_23750	PRO_23750
PRO_23750	PRO_17341
PRO_23750	PRO_14824
PRO_23750	PRO_19395
PRO_23765	PRO_23765
PRO_23765	PRO_16860
PRO_23765	PRO_11621
PRO_23769	PRO_23769
PRO_23774	PRO_23774
PRO_23774	PRO_8791
PRO_23774	PRO_18907
PRO_23774	PRO_23674
PRO_23774	PRO_20920
PRO_23776	PRO_23776
PRO_23777	PRO_23777
PRO_23777	PRO_2426
PRO_23777	PRO_4383
PRO_23777	PRO_9866
PRO_23777	PRO_2138
PRO_23777	PRO_5734
PRO_23777	PRO_15838
PRO_23778	PRO_23778
PRO_23779	PRO_23779
PRO_23779	PRO_18613
PRO_23780	PRO_23780
PRO_23795	PRO_23795
PRO_5	PRO_5
PRO_5	PRO_20265
PRO_5	PRO_15715
PRO_6	PRO_6
PRO_6	PRO_21729
PRO_6	PRO_8263
PRO_6	PRO_17835
